pathDomainRatio,domain_token_count,domainUrlRatio,SymbolCount_Domain,LongestPathTokenLength,domainlength,tld,NumberofDotsinURL,argDomanRatio,pathurlRatio,host_letter_count,delimeter_path,pathLength,Entropy_Domain,urlLen,subDirLen,ldl_url,CharacterContinuityRate,longdomaintokenlen,SymbolCount_Directoryname,Target
2.9166667,2.0,0.22222222,1.0,29.0,12.0,2.0,2.0,0.16666667,0.6481481,11.0,4.0,35.0,0.860528527,54.0,35.0,0.0,0.8333333,9.0,2.8788417987706243,0
7.4545455,2.0,0.11,1.0,36.0,11.0,2.0,1.0,0.18181819,0.82,10.0,9.0,82.0,0.947442759,100.0,82.0,0.0,0.72727275,7.0,4.0,0
8.5,2.0,0.09375,1.0,17.0,6.0,2.0,2.0,0.33333334,0.796875,5.0,2.0,51.0,1.0,64.0,51.0,0.0,0.6666667,3.0,5.0,0
1.75,2.0,0.3137255,1.0,20.0,16.0,2.0,1.0,0.125,0.54901963,15.0,2.0,28.0,0.9375,51.0,28.0,0.0,0.8125,12.0,1.0,0
4.25,2.0,0.17142858,1.0,45.0,12.0,2.0,2.0,0.16666667,0.7285714,11.0,7.0,51.0,0.953509509,70.0,51.0,1.0,0.75,8.0,2.8788417987706243,0
2.8333333,2.0,0.2264151,1.0,28.0,12.0,2.0,2.0,0.16666667,0.6415094,11.0,5.0,34.0,0.860528527,53.0,34.0,0.0,0.8333333,9.0,2.8788417987706243,0
5.1,2.0,0.14492753,1.0,23.0,10.0,2.0,2.0,1.6,0.73913044,9.0,2.0,51.0,1.0,69.0,51.0,0.0,0.7,6.0,2.0,0
7.7777777,2.0,0.10465116,1.0,63.0,9.0,2.0,2.0,6.5555553,0.81395346,5.0,1.0,70.0,0.859793388,86.0,70.0,1.0,0.7777778,5.0,2.8788417987706243,0
9.571428,2.0,0.086419754,1.0,66.0,7.0,2.0,1.0,0.2857143,0.8271605,5.0,9.0,67.0,0.898226518,81.0,67.0,1.0,0.71428573,3.0,2.8788417987706243,0
10.5,2.0,0.08080808,1.0,74.0,8.0,2.0,1.0,0.25,0.8484849,7.0,10.0,84.0,0.916666667,99.0,84.0,0.0,0.625,4.0,2.0,0
2.8,2.0,0.234375,1.0,29.0,15.0,2.0,1.0,0.13333334,0.65625,14.0,5.0,42.0,0.884735489,64.0,42.0,0.0,0.8,11.0,2.0,0
3.7272727,2.0,0.18644068,1.0,35.0,11.0,2.0,2.0,2.8181818,0.69491524,10.0,1.0,41.0,0.894885518,59.0,41.0,1.0,0.72727275,7.0,2.8788417987706243,0
1.882353,3.0,0.30357143,2.0,18.0,17.0,3.0,3.0,0.11764706,0.5714286,15.0,4.0,32.0,0.776795596,56.0,32.0,2.0,0.64705884,10.0,2.0,0
3.0,2.0,0.21818182,1.0,22.0,12.0,2.0,2.0,0.16666667,0.6545454,11.0,4.0,36.0,0.953509509,55.0,36.0,0.0,0.8333333,9.0,1.0,0
12.9,2.0,0.06849315,1.0,120.0,10.0,2.0,1.0,0.2,0.8835617,9.0,19.0,129.0,1.0,146.0,129.0,0.0,0.7,6.0,1.0,0
2.8,3.0,0.234375,2.0,16.0,15.0,3.0,2.0,0.13333334,0.65625,13.0,2.0,42.0,0.769470978,64.0,42.0,0.0,0.6,8.0,2.0,0
5.0,2.0,0.14545454,1.0,18.0,8.0,2.0,2.0,0.25,0.72727275,7.0,1.0,40.0,0.916666667,55.0,40.0,0.0,0.625,4.0,3.0,0
7.1,3.0,0.11235955,2.0,45.0,10.0,3.0,2.0,0.2,0.7977528,8.0,4.0,71.0,0.796657624,89.0,71.0,0.0,0.4,3.0,2.0,0
2.6470587,2.0,0.24637681,1.0,39.0,17.0,2.0,2.0,0.11764706,0.65217394,16.0,9.0,45.0,0.78765934,69.0,45.0,0.0,0.8235294,13.0,2.8788417987706243,0
3.142857,2.0,0.21538462,1.0,12.0,14.0,2.0,2.0,0.14285715,0.6769231,12.0,3.0,44.0,0.821590144,65.0,44.0,0.0,0.5,10.0,4.0,0
2.9333334,2.0,0.22727273,1.0,20.0,15.0,2.0,1.0,0.13333334,0.6666667,14.0,1.0,44.0,0.931744527,66.0,44.0,0.0,0.8666667,12.0,4.0,0
4.1666665,2.0,0.17142858,1.0,41.0,12.0,2.0,2.0,3.0833333,0.71428573,11.0,2.0,50.0,0.842980982,70.0,50.0,0.0,0.75,8.0,2.8788417987706243,0
2.2666667,2.0,0.26785713,1.0,20.0,15.0,2.0,1.0,0.13333334,0.60714287,14.0,2.0,34.0,0.884735489,56.0,34.0,0.0,0.8,11.0,2.0,0
5.1,3.0,0.14492753,2.0,30.0,10.0,3.0,2.0,0.2,0.73913044,8.0,3.0,51.0,0.796657624,69.0,51.0,0.0,0.4,3.0,2.0,0
6.142857,2.0,0.12280702,1.0,30.0,7.0,2.0,1.0,0.2857143,0.75438595,6.0,4.0,43.0,1.0,57.0,43.0,0.0,0.5714286,3.0,3.0,0
9.8,2.0,0.08695652,1.0,85.0,10.0,2.0,2.0,0.2,0.8521739,9.0,12.0,98.0,0.698970004,115.0,98.0,2.0,0.8,7.0,2.8788417987706243,0
5.0,2.0,0.15294118,1.0,38.0,13.0,2.0,1.0,0.15384616,0.7647059,12.0,5.0,65.0,0.916849799,85.0,65.0,0.0,0.7692308,9.0,2.0,0
4.4166665,2.0,0.16438356,1.0,27.0,12.0,2.0,1.0,0.16666667,0.72602737,11.0,4.0,53.0,0.889471473,73.0,53.0,0.0,0.75,8.0,3.0,0
6.3,2.0,0.125,1.0,43.0,10.0,2.0,1.0,0.2,0.7875,9.0,9.0,63.0,1.0,80.0,63.0,0.0,0.7,6.0,2.8788417987706243,0
1.3888888,2.0,0.3529412,1.0,14.0,18.0,2.0,1.0,0.11111111,0.49019608,17.0,1.0,25.0,0.803421891,51.0,25.0,0.0,0.8333333,14.0,1.0,0
3.8,2.0,0.18987341,1.0,56.0,15.0,2.0,1.0,0.13333334,0.721519,14.0,9.0,57.0,0.89761679,79.0,57.0,1.0,0.8,11.0,2.8788417987706243,0
11.714286,2.0,0.072916664,1.0,65.0,7.0,2.0,1.0,0.2857143,0.8541667,6.0,12.0,82.0,0.796453036,96.0,82.0,0.0,0.5714286,3.0,2.0,0
2.75,2.0,0.23076923,1.0,18.0,12.0,2.0,2.0,0.16666667,0.63461536,10.0,3.0,33.0,0.907019018,52.0,33.0,1.0,0.5833333,8.0,1.0,0
2.4285715,2.0,0.25,1.0,13.0,14.0,2.0,1.0,0.14285715,0.60714287,12.0,3.0,34.0,0.821590144,56.0,34.0,0.0,0.5,10.0,2.0,0
5.1538463,2.0,0.14942528,1.0,27.0,13.0,2.0,2.0,0.15384616,0.77011496,12.0,4.0,67.0,0.916849799,87.0,67.0,0.0,0.7692308,9.0,5.0,0
5.6666665,2.0,0.13793103,1.0,59.0,12.0,2.0,1.0,0.16666667,0.7816092,11.0,11.0,68.0,0.953509509,87.0,68.0,0.0,0.75,8.0,1.0,0
7.6,2.0,0.11029412,1.0,78.0,15.0,2.0,1.0,1.3333334,0.8382353,14.0,13.0,114.0,0.884735489,136.0,114.0,0.0,0.8,11.0,4.0,0
4.6666665,2.0,0.15254237,1.0,23.0,9.0,2.0,1.0,0.22222222,0.7118644,5.0,2.0,42.0,0.929896694,59.0,42.0,0.0,0.7777778,5.0,2.0,0
4.6666665,2.0,0.15517241,1.0,27.0,9.0,2.0,2.0,2.5555556,0.7241379,8.0,2.0,42.0,0.859793388,58.0,42.0,1.0,0.6666667,5.0,2.0,0
3.5384614,2.0,0.1969697,1.0,28.0,13.0,2.0,1.0,0.15384616,0.6969697,12.0,4.0,46.0,0.901157537,66.0,46.0,0.0,0.7692308,9.0,2.0,0
5.0833335,2.0,0.15,1.0,59.0,12.0,2.0,1.0,0.16666667,0.7625,11.0,6.0,61.0,0.907019018,80.0,61.0,0.0,0.75,8.0,2.8788417987706243,0
5.142857,2.0,0.15053764,1.0,48.0,14.0,2.0,1.0,0.14285715,0.7741935,13.0,8.0,72.0,0.87327371,93.0,72.0,0.0,0.78571427,10.0,4.0,0
6.285714,2.0,0.12068965,1.0,19.0,7.0,2.0,2.0,0.2857143,0.7586207,6.0,2.0,44.0,0.758039271,58.0,44.0,0.0,0.5714286,3.0,3.0,0
3.8666666,3.0,0.1875,2.0,25.0,15.0,3.0,2.0,0.13333334,0.725,13.0,4.0,58.0,0.769470978,80.0,58.0,0.0,0.6,8.0,2.0,0
1.9375,2.0,0.2962963,1.0,16.0,16.0,2.0,2.0,0.125,0.5740741,15.0,3.0,31.0,0.894454883,54.0,31.0,0.0,0.8125,12.0,1.0,0
4.3,2.0,0.16666667,1.0,12.0,10.0,2.0,1.0,0.2,0.71666664,6.0,1.0,43.0,1.0,60.0,43.0,2.0,0.7,6.0,4.0,0
3.7,2.0,0.18518518,1.0,24.0,10.0,2.0,2.0,0.2,0.6851852,9.0,4.0,37.0,0.698970004,54.0,37.0,2.0,0.8,7.0,1.0,0
5.733333,2.0,0.1388889,1.0,67.0,15.0,2.0,1.0,0.13333334,0.7962963,14.0,13.0,86.0,0.89761679,108.0,86.0,0.0,0.8,11.0,1.0,0
7.7,2.0,0.10638298,1.0,62.0,10.0,2.0,1.0,0.2,0.81914896,9.0,9.0,77.0,0.939794001,94.0,77.0,0.0,0.7,6.0,2.0,0
5.714286,2.0,0.12962963,1.0,16.0,7.0,2.0,1.0,0.2857143,0.7407407,6.0,1.0,40.0,0.796453036,54.0,40.0,0.0,0.71428573,4.0,2.0,0
3.3333333,2.0,0.20338982,1.0,34.0,12.0,2.0,2.0,0.16666667,0.6779661,11.0,5.0,40.0,0.953509509,59.0,40.0,1.0,0.75,8.0,2.8788417987706243,0
2.7333333,2.0,0.23809524,1.0,27.0,15.0,2.0,1.0,0.13333334,0.6507937,14.0,3.0,41.0,0.884735489,63.0,41.0,0.0,0.8,11.0,2.0,0
3.5833333,2.0,0.19354838,1.0,37.0,12.0,2.0,2.0,0.16666667,0.6935484,11.0,6.0,43.0,0.860528527,62.0,43.0,0.0,0.8333333,9.0,2.8788417987706243,0
5.25,2.0,0.14035088,1.0,26.0,8.0,2.0,2.0,2.875,0.7368421,7.0,2.0,42.0,0.916666667,57.0,42.0,1.0,0.75,5.0,1.0,0
4.4444447,2.0,0.16071428,1.0,32.0,9.0,2.0,1.0,0.22222222,0.71428573,8.0,0.0,40.0,0.763230027,56.0,40.0,6.0,0.7777778,6.0,1.0,0
6.571429,2.0,0.11666667,1.0,33.0,7.0,2.0,1.0,0.2857143,0.76666665,6.0,4.0,46.0,1.0,60.0,46.0,0.0,0.5714286,3.0,3.0,0
6.357143,2.0,0.12727273,1.0,72.0,14.0,2.0,1.0,0.14285715,0.8090909,13.0,13.0,89.0,0.849914551,110.0,89.0,0.0,0.78571427,10.0,1.0,0
2.75,2.0,0.23076923,1.0,27.0,12.0,2.0,2.0,0.16666667,0.63461536,11.0,5.0,33.0,0.860528527,52.0,33.0,0.0,0.8333333,9.0,2.8788417987706243,0
4.25,2.0,0.17142858,1.0,38.0,12.0,2.0,1.0,0.16666667,0.7285714,11.0,5.0,51.0,0.860528527,70.0,51.0,0.0,0.75,8.0,3.0,0
1.7222222,2.0,0.32142857,1.0,24.0,18.0,2.0,1.0,0.11111111,0.5535714,15.0,2.0,31.0,0.85671355,56.0,31.0,0.0,0.3888889,15.0,1.0,0
3.4,2.0,0.20547946,1.0,34.0,15.0,2.0,2.0,2.0,0.69863015,14.0,1.0,51.0,0.829361317,73.0,51.0,0.0,0.8,11.0,2.8788417987706243,0
2.6,2.0,0.24590164,1.0,38.0,15.0,2.0,1.0,1.8,0.6393443,14.0,0.0,39.0,0.850607753,61.0,39.0,0.0,0.8,11.0,2.8788417987706243,0
2.8461537,3.0,0.22807017,2.0,27.0,13.0,3.0,2.0,0.15384616,0.64912283,11.0,2.0,37.0,0.875274698,57.0,37.0,0.0,0.53846157,6.0,1.0,0
5.6153846,2.0,0.13978495,1.0,55.0,13.0,2.0,1.0,0.15384616,0.78494626,12.0,10.0,73.0,0.833699597,93.0,73.0,0.0,0.7692308,9.0,2.0,0
3.7272727,2.0,0.18644068,1.0,19.0,11.0,2.0,1.0,0.18181819,0.69491524,10.0,3.0,41.0,0.947442759,59.0,41.0,0.0,0.72727275,7.0,3.0,0
4.25,2.0,0.17142858,1.0,45.0,12.0,2.0,2.0,0.16666667,0.7285714,11.0,8.0,51.0,0.860528527,70.0,51.0,0.0,0.8333333,9.0,2.8788417987706243,0
6.4,2.0,0.12711865,1.0,78.0,15.0,2.0,1.0,0.13333334,0.8135593,14.0,14.0,96.0,0.931744527,118.0,96.0,1.0,0.8,11.0,2.0,0
4.769231,2.0,0.15853658,1.0,48.0,13.0,2.0,2.0,0.15384616,0.75609756,12.0,11.0,62.0,0.875274698,82.0,62.0,0.0,0.84615386,10.0,2.8788417987706243,0
3.8666666,2.0,0.1875,1.0,52.0,15.0,2.0,2.0,0.13333334,0.725,11.0,12.0,58.0,0.79523358,80.0,58.0,1.0,0.8,11.0,2.8788417987706243,0
6.733333,2.0,0.12195122,1.0,83.0,15.0,2.0,1.0,1.0666667,0.8211382,14.0,10.0,101.0,0.931744527,123.0,101.0,1.0,0.8,11.0,2.0,0
5.5454545,2.0,0.1392405,1.0,21.0,11.0,2.0,1.0,0.18181819,0.7721519,10.0,5.0,61.0,0.947442759,79.0,61.0,0.0,0.72727275,7.0,4.0,0
12.142858,2.0,0.07070707,1.0,68.0,7.0,2.0,1.0,0.2857143,0.85858583,6.0,11.0,85.0,0.796453036,99.0,85.0,0.0,0.5714286,3.0,2.0,0
6.0,2.0,0.13265306,1.0,63.0,13.0,2.0,1.0,0.15384616,0.79591835,12.0,12.0,78.0,0.833699597,98.0,78.0,0.0,0.7692308,9.0,3.0,0
6.7777777,2.0,0.115384616,1.0,46.0,9.0,2.0,1.0,2.4444444,0.78205127,5.0,6.0,61.0,0.929896694,78.0,61.0,0.0,0.7777778,5.0,2.0,0
10.571428,2.0,0.07954545,1.0,66.0,7.0,2.0,1.0,0.2857143,0.84090906,5.0,11.0,74.0,0.898226518,88.0,74.0,1.0,0.71428573,3.0,2.8788417987706243,0
8.846154,2.0,0.096296296,1.0,102.0,13.0,2.0,1.0,2.7692308,0.8518519,12.0,9.0,115.0,0.818007335,135.0,115.0,0.0,0.84615386,10.0,2.8788417987706243,0
4.8333335,2.0,0.15584415,1.0,51.0,12.0,2.0,1.0,0.16666667,0.7532467,11.0,7.0,58.0,0.907019018,77.0,58.0,0.0,0.75,8.0,1.0,0
9.25,2.0,0.08988764,1.0,58.0,8.0,2.0,1.0,0.25,0.83146065,7.0,8.0,74.0,0.916666667,89.0,74.0,0.0,0.625,4.0,1.0,0
4.3333335,2.0,0.1724138,1.0,24.0,15.0,2.0,1.0,0.13333334,0.74712646,14.0,0.0,65.0,0.89761679,87.0,65.0,5.0,0.8,11.0,9.0,0
7.3,2.0,0.10989011,1.0,60.0,10.0,2.0,1.0,1.5,0.8021978,9.0,7.0,73.0,0.856863624,91.0,73.0,3.0,0.7,6.0,1.0,0
3.7857144,2.0,0.1891892,1.0,35.0,14.0,2.0,1.0,0.14285715,0.7162162,13.0,6.0,53.0,0.87327371,74.0,53.0,0.0,0.78571427,10.0,4.0,0
2.142857,3.0,0.27450982,2.0,20.0,14.0,3.0,3.0,1.1428572,0.5882353,12.0,3.0,30.0,0.760709623,51.0,30.0,1.0,0.64285713,8.0,1.0,0
5.3333335,2.0,0.14705883,1.0,63.0,15.0,2.0,1.0,0.13333334,0.78431374,14.0,10.0,80.0,0.931744527,102.0,80.0,0.0,0.8,11.0,2.0,0
4.866667,3.0,0.15789473,2.0,25.0,15.0,3.0,2.0,0.13333334,0.76842105,13.0,4.0,73.0,0.769470978,95.0,73.0,0.0,0.6,8.0,3.0,0
3.5714285,2.0,0.1971831,1.0,37.0,14.0,2.0,1.0,0.14285715,0.70422536,13.0,7.0,50.0,0.87327371,71.0,50.0,0.0,0.78571427,10.0,2.0,0
8.9,2.0,0.094339624,1.0,77.0,10.0,2.0,2.0,7.3,0.8396226,9.0,1.0,89.0,0.796657624,106.0,89.0,0.0,0.7,6.0,1.0,0
10.3,2.0,0.083333336,1.0,90.0,10.0,2.0,2.0,0.2,0.85833335,9.0,15.0,103.0,0.698970004,120.0,103.0,2.0,0.8,7.0,2.8788417987706243,0
3.6470587,2.0,0.1954023,1.0,55.0,17.0,2.0,1.0,0.11764706,0.7126437,16.0,9.0,62.0,0.816441756,87.0,62.0,0.0,0.8235294,13.0,2.8788417987706243,0
3.4,2.0,0.19607843,1.0,20.0,10.0,2.0,2.0,0.2,0.6666667,9.0,3.0,34.0,0.819382003,51.0,34.0,0.0,0.7,6.0,2.0,0
10.166667,2.0,0.08108108,1.0,20.0,6.0,2.0,2.0,0.33333334,0.8243243,5.0,4.0,61.0,1.0,74.0,61.0,0.0,0.6666667,3.0,4.0,0
